batch_id,test_date,drug_id,drug_name,supplier_id,supplier_name,purity_pct,contamination_ppm,dissolution_min,moisture_pct,sterility_pass,overall_pass,quality_trend
BAT00001,2021-01-01,DRG001,Lisinopril,SUP001,Aurobindo API Ltd,87.21,5.97,32.4,1.48,True,False,stable
BAT00170,2021-01-01,DRG003,Atorvastatin Calcium,SUP002,Cipla Chemical Works,91.3,4.95,31.4,1.69,True,False,stable
BAT01137,2021-01-01,DRG009,Azithromycin,SUP010,Novartis API GmbH,97.92,1.81,25.0,1.46,True,True,stable
BAT01307,2021-01-01,DRG005,Glimepiride,SUP014,Euroapi France,93.44,2.93,30.4,1.96,True,False,stable
BAT00469,2021-01-02,DRG014,Pantoprazole Sodium,SUP004,Laurus Labs Synthesis,86.19,7.12,36.4,1.98,True,False,declining
BAT01928,2021-01-03,DRG008,Amoxicillin Trihydrate,SUP025,Lupin API Division,89.03,5.13,29.1,1.24,True,False,stable
BAT01431,2021-01-04,DRG010,Ciprofloxacin HCl,SUP015,Polpharma API Poland,91.72,4.49,32.8,1.67,True,False,stable
BAT01512,2021-01-04,DRG015,Sertraline HCl,SUP016,Pfizer CentreOne API,97.47,1.09,30.9,1.88,True,True,stable
BAT00447,2021-01-05,DRG010,Ciprofloxacin HCl,SUP004,Laurus Labs Synthesis,87.55,7.56,35.1,2.33,True,False,declining
BAT00267,2021-01-05,DRG016,Escitalopram Oxalate,SUP002,Cipla Chemical Works,91.25,5.23,30.5,1.83,True,False,stable
BAT01044,2021-01-05,DRG007,Acetaminophen (Paracetamol),SUP009,Shandong Xinhua API,80.41,9.27,35.9,1.93,True,False,stable
BAT01839,2021-01-06,DRG015,Sertraline HCl,SUP024,Fermion Oy Finland,94.34,2.71,31.3,1.67,True,False,stable
BAT00146,2021-01-06,DRG001,Lisinopril,SUP002,Cipla Chemical Works,91.19,4.99,33.0,1.73,True,False,stable
BAT00069,2021-01-07,DRG008,Amoxicillin Trihydrate,SUP001,Aurobindo API Ltd,88.09,5.73,39.3,1.89,True,False,stable
BAT00382,2021-01-07,DRG015,Sertraline HCl,SUP003,Dr Reddy's API Division,91.57,4.2,33.0,1.82,True,False,stable
BAT01840,2021-01-08,DRG015,Sertraline HCl,SUP024,Fermion Oy Finland,96.23,2.68,29.1,1.81,True,True,stable
BAT00019,2021-01-08,DRG002,Amlodipine Besylate,SUP001,Aurobindo API Ltd,88.7,5.93,34.0,2.22,True,False,stable
BAT00217,2021-01-08,DRG009,Azithromycin,SUP002,Cipla Chemical Works,89.58,4.71,36.7,2.11,True,False,stable
BAT01290,2021-01-09,DRG017,Oseltamivir Phosphate,SUP013,Lonza Pharma Ingredients,98.72,1.34,31.0,2.3,True,True,stable
BAT00250,2021-01-14,DRG014,Pantoprazole Sodium,SUP002,Cipla Chemical Works,91.12,4.7,33.1,1.91,True,False,stable
BAT00357,2021-01-14,DRG013,Omeprazole,SUP003,Dr Reddy's API Division,89.51,4.5,37.2,1.09,True,False,stable
BAT00470,2021-01-14,DRG014,Pantoprazole Sodium,SUP004,Laurus Labs Synthesis,84.93,7.78,31.2,1.76,True,False,declining
BAT00675,2021-01-15,DRG004,Metformin HCl,SUP006,Zhejiang Pharma Chemical,82.72,8.17,35.7,1.78,True,False,stable
BAT01356,2021-01-15,DRG001,Lisinopril,SUP015,Polpharma API Poland,91.15,4.8,24.9,1.28,True,False,stable
BAT00053,2021-01-15,DRG006,Ibuprofen,SUP001,Aurobindo API Ltd,89.27,5.82,31.4,1.95,True,False,stable
BAT01652,2021-01-15,DRG005,Glimepiride,SUP020,Teva API Israel,92.78,3.08,33.9,1.41,True,False,stable
BAT01710,2021-01-16,DRG018,Cetirizine HCl,SUP020,Teva API Israel,93.27,3.45,30.4,1.55,True,False,stable
BAT00625,2021-01-16,DRG017,Oseltamivir Phosphate,SUP005,Divi's Laboratories API,92.88,3.12,30.4,1.85,True,False,stable
BAT01215,2021-01-17,DRG006,Ibuprofen,SUP011,BASF Pharma Solutions,94.88,1.32,28.8,1.42,True,False,stable
BAT00339,2021-01-19,DRG011,Salbutamol Sulfate,SUP003,Dr Reddy's API Division,89.93,4.57,33.5,1.51,True,False,stable
BAT00799,2021-01-19,DRG004,Metformin HCl,SUP007,Huahai Pharmaceutical API,80.77,10.4,37.2,1.87,True,False,declining
BAT00765,2021-01-20,DRG013,Omeprazole,SUP006,Zhejiang Pharma Chemical,81.74,8.3,31.6,1.86,True,False,stable
BAT00840,2021-01-21,DRG007,Acetaminophen (Paracetamol),SUP007,Huahai Pharmaceutical API,80.09,10.01,36.0,1.47,True,False,declining
BAT01291,2021-01-21,DRG017,Oseltamivir Phosphate,SUP013,Lonza Pharma Ingredients,98.02,0.69,29.7,1.56,True,True,stable
BAT00448,2021-01-22,DRG010,Ciprofloxacin HCl,SUP004,Laurus Labs Synthesis,85.66,7.78,38.2,1.68,True,False,declining
BAT00471,2021-01-22,DRG014,Pantoprazole Sodium,SUP004,Laurus Labs Synthesis,85.23,7.25,37.0,1.95,True,False,declining
BAT01160,2021-01-22,DRG011,Salbutamol Sulfate,SUP010,Novartis API GmbH,96.32,1.41,33.7,1.99,True,True,stable
BAT01009,2021-01-22,DRG004,Metformin HCl,SUP009,Shandong Xinhua API,80.59,9.17,39.5,1.29,True,False,stable
