id,name,category,base_price_per_kg,demand_seasonality,criticality,approved_suppliers
DRG001,Lisinopril,Cardiovascular,120,flat,high,"[""SUP001"", ""SUP002"", ""SUP004"", ""SUP006"", ""SUP008"", ""SUP015"", ""SUP020"", ""SUP025""]"
DRG002,Amlodipine Besylate,Cardiovascular,180,flat,high,"[""SUP001"", ""SUP003"", ""SUP005"", ""SUP010"", ""SUP015"", ""SUP020""]"
DRG003,Atorvastatin Calcium,Cardiovascular,250,flat,high,"[""SUP002"", ""SUP005"", ""SUP006"", ""SUP010"", ""SUP016"", ""SUP023""]"
DRG004,Metformin HCl,Diabetes,45,flat,critical,"[""SUP001"", ""SUP004"", ""SUP006"", ""SUP007"", ""SUP008"", ""SUP009"", ""SUP015"", ""SUP022"", ""SUP025""]"
DRG005,Glimepiride,Diabetes,320,flat,medium,"[""SUP002"", ""SUP003"", ""SUP010"", ""SUP014"", ""SUP020""]"
DRG006,Ibuprofen,Pain,35,winter_peak,high,"[""SUP001"", ""SUP006"", ""SUP007"", ""SUP008"", ""SUP009"", ""SUP011"", ""SUP015"", ""SUP021"", ""SUP025""]"
DRG007,Acetaminophen (Paracetamol),Pain,28,winter_peak,critical,"[""SUP004"", ""SUP006"", ""SUP007"", ""SUP008"", ""SUP009"", ""SUP011"", ""SUP022""]"
DRG008,Amoxicillin Trihydrate,Antibiotics,85,winter_peak,critical,"[""SUP001"", ""SUP002"", ""SUP006"", ""SUP008"", ""SUP014"", ""SUP021"", ""SUP025""]"
DRG009,Azithromycin,Antibiotics,150,winter_peak,high,"[""SUP002"", ""SUP003"", ""SUP005"", ""SUP010"", ""SUP020""]"
DRG010,Ciprofloxacin HCl,Antibiotics,95,slight_winter,medium,"[""SUP001"", ""SUP004"", ""SUP006"", ""SUP009"", ""SUP015""]"
DRG011,Salbutamol Sulfate,Respiratory,420,spring_peak,high,"[""SUP003"", ""SUP005"", ""SUP010"", ""SUP012"", ""SUP016""]"
DRG012,Montelukast Sodium,Respiratory,550,spring_peak,medium,"[""SUP002"", ""SUP005"", ""SUP013"", ""SUP017"", ""SUP023""]"
DRG013,Omeprazole,Gastrointestinal,110,flat,high,"[""SUP001"", ""SUP003"", ""SUP006"", ""SUP008"", ""SUP014"", ""SUP020"", ""SUP025""]"
DRG014,Pantoprazole Sodium,Gastrointestinal,140,flat,medium,"[""SUP002"", ""SUP004"", ""SUP007"", ""SUP015"", ""SUP021""]"
DRG015,Sertraline HCl,CNS,280,slight_winter,high,"[""SUP003"", ""SUP005"", ""SUP010"", ""SUP016"", ""SUP018"", ""SUP024""]"
DRG016,Escitalopram Oxalate,CNS,350,slight_winter,medium,"[""SUP002"", ""SUP005"", ""SUP012"", ""SUP017"", ""SUP023""]"
DRG017,Oseltamivir Phosphate,Antiviral,1200,strong_winter,high,"[""SUP005"", ""SUP010"", ""SUP013"", ""SUP016"", ""SUP017""]"
DRG018,Cetirizine HCl,Allergy,65,spring_peak,medium,"[""SUP001"", ""SUP004"", ""SUP006"", ""SUP008"", ""SUP015"", ""SUP020"", ""SUP025""]"
