incident_id,date,supplier_id,supplier_name,incident_type,severity,resolution_days,resolved,description
INC0009,2021-01-02,SUP003,Dr Reddy's API Division,late_delivery,minor,7,True,Late Delivery at Dr Reddy's API Division
INC0103,2021-01-06,SUP025,Lupin API Division,late_delivery,minor,4,True,Late Delivery at Lupin API Division
INC0004,2021-01-09,SUP002,Cipla Chemical Works,geopolitical_disruption,severe,158,True,Geopolitical Disruption at Cipla Chemical Works
INC0062,2021-01-14,SUP014,Euroapi France,price_dispute,minor,4,True,Price Dispute at Euroapi France
INC0014,2021-01-31,SUP004,Laurus Labs Synthesis,price_dispute,minor,13,True,Price Dispute at Laurus Labs Synthesis
INC0101,2021-02-05,SUP025,Lupin API Division,late_delivery,minor,5,True,Late Delivery at Lupin API Division
INC0097,2021-03-06,SUP024,Fermion Oy Finland,late_delivery,minor,7,True,Late Delivery at Fermion Oy Finland
INC0092,2021-03-13,SUP023,Mylan API Japan,late_delivery,minor,2,True,Late Delivery at Mylan API Japan
INC0080,2021-04-24,SUP020,Teva API Israel,quality_complaint,moderate,40,True,Quality Complaint at Teva API Israel
INC0037,2021-04-25,SUP007,Huahai Pharmaceutical API,geopolitical_disruption,severe,97,True,Geopolitical Disruption at Huahai Pharmaceutical API
INC0090,2021-05-04,SUP022,Cristalia Brazil API,geopolitical_disruption,severe,80,True,Geopolitical Disruption at Cristalia Brazil API
INC0055,2021-05-21,SUP009,Shandong Xinhua API,late_delivery,minor,4,True,Late Delivery at Shandong Xinhua API
INC0091,2021-05-24,SUP022,Cristalia Brazil API,late_delivery,minor,12,True,Late Delivery at Cristalia Brazil API
INC0001,2021-05-24,SUP001,Aurobindo API Ltd,late_delivery,minor,2,True,Late Delivery at Aurobindo API Ltd
INC0033,2021-05-31,SUP007,Huahai Pharmaceutical API,fda_warning_letter,severe,169,True,Fda Warning Letter at Huahai Pharmaceutical API
