drug_id,drug_name,category,criticality,avg_daily_demand_kg,avg_lead_time_days,std_weekly_demand_kg,safety_stock_kg,reorder_point_kg,eoq_kg,current_stock_kg,days_cover,action,urgency_score,price_per_kg,stock_value_usd,service_level_target
DRG018,Cetirizine HCl,Allergy,medium,233.83,57.5,1691.97,7973.7,21410.09,2324.15,5433,23.2,REORDER_NOW,94.9,63.2,343374.65,0.95
DRG009,Azithromycin,Antibiotics,high,230.73,53.6,1778.61,8099.2,20477.78,1360.84,5880,25.5,REORDER_NOW,94.3,181.91,1069607.4,0.95
DRG005,Glimepiride,Diabetes,medium,242.39,48.3,1935.2,8364.99,20082.44,927.57,5889,24.3,REORDER_NOW,94.1,411.31,2422207.52,0.95
DRG016,Escitalopram Oxalate,CNS,medium,223.49,48.4,1703.86,7368.22,18181.69,836.08,6471,29.0,REORDER_NOW,92.9,466.79,3020577.85,0.95
DRG010,Ciprofloxacin HCl,Antibiotics,medium,284.1,59.2,1977.35,9460.11,26284.34,2201.55,10444,36.8,REORDER_NOW,92.1,85.58,893778.48,0.95
DRG002,Amlodipine Besylate,Cardiovascular,high,241.25,49.9,1782.49,7825.84,19857.37,1467.98,8772,36.4,REORDER_NOW,91.2,163.45,1433771.04,0.95
DRG004,Metformin HCl,Diabetes,critical,283.01,61.9,2192.02,10726.08,28258.28,3179.6,12851,45.4,REORDER_NOW,90.9,40.87,525223.25,0.95
DRG013,Omeprazole,Gastrointestinal,high,225.51,56.7,1866.4,8740.27,21535.52,1707.65,9818,43.5,REORDER_NOW,90.9,112.91,1108523.05,0.95
DRG011,Salbutamol Sulfate,Respiratory,high,263.68,42.3,1977.45,7999.67,19164.59,804.27,8959,34.0,REORDER_NOW,90.7,595.15,5331970.07,0.95
DRG007,Acetaminophen (Paracetamol),Pain,critical,240.51,60.7,1916.44,9284.05,23887.83,3826.55,11458,47.6,REORDER_NOW,90.4,23.98,274778.53,0.95
DRG001,Lisinopril,Cardiovascular,high,224.47,59.0,1727.77,8251.44,21497.85,1896.12,10795,48.1,REORDER_NOW,90.0,91.16,984037.36,0.95
DRG008,Amoxicillin Trihydrate,Antibiotics,critical,304.14,59.4,2243.81,10751.54,28818.76,2383.1,14755,48.5,REORDER_NOW,89.8,78.19,1153679.02,0.95
DRG014,Pantoprazole Sodium,Gastrointestinal,medium,209.52,57.7,1630.05,7695.73,19778.79,1523.17,10434,49.8,REORDER_NOW,89.4,131.85,1375758.9,0.95
DRG003,Atorvastatin Calcium,Cardiovascular,high,259.65,52.3,2044.6,9191.23,22766.86,1070.46,13255,51.0,REORDER_NOW,88.4,330.83,4385113.5,0.95
DRG006,Ibuprofen,Pain,high,224.65,57.2,1653.55,7776.91,20633.32,3211.27,12388,55.1,REORDER_NOW,88.0,31.81,394002.59,0.95
DRG015,Sertraline HCl,CNS,high,257.03,34.4,1783.5,6500.5,15335.0,859.32,9387,36.5,REORDER_NOW,87.8,508.2,4770445.79,0.95
DRG012,Montelukast Sodium,Respiratory,medium,249.43,50.0,2064.06,9069.68,21529.98,637.46,13329,53.4,REORDER_NOW,87.6,896.17,11944994.73,0.95
DRG017,Oseltamivir Phosphate,Antiviral,high,224.56,30.8,1805.87,6232.36,13152.49,371.33,9075,40.4,REORDER_NOW,86.2,2377.73,21577896.63,0.95
