order_id,order_date,drug_id,drug_name,supplier_id,supplier_name,quantity_kg,price_per_kg,total_cost_usd,promised_delivery,actual_delivery,lead_time_days,on_time,year,month,quarter
ORD01757,2021-01-01,DRG007,Acetaminophen (Paracetamol),SUP006,Zhejiang Pharma Chemical,250,18.12,4530.0,2021-03-09,2021-03-21,79,False,2021,1,Q1
ORD02901,2021-01-01,DRG014,Pantoprazole Sodium,SUP004,Laurus Labs Synthesis,1000,91.85,91850.0,2021-03-09,2021-03-10,68,True,2021,1,Q1
ORD00218,2021-01-02,DRG017,Oseltamivir Phosphate,SUP017,Thermo Fisher Pharma,500,2459.7,1229850.0,2021-01-16,2021-01-14,12,True,2021,1,Q1
ORD00688,2021-01-02,DRG010,Ciprofloxacin HCl,SUP004,Laurus Labs Synthesis,1000,71.81,71810.0,2021-03-10,2021-02-25,54,True,2021,1,Q1
ORD04318,2021-01-02,DRG007,Acetaminophen (Paracetamol),SUP009,Shandong Xinhua API,500,16.68,8340.0,2021-03-10,2021-02-27,56,True,2021,1,Q1
ORD00019,2021-01-02,DRG002,Amlodipine Besylate,SUP010,Novartis API GmbH,2000,225.74,451480.0,2021-02-03,2021-01-31,29,True,2021,1,Q1
ORD00150,2021-01-03,DRG013,Omeprazole,SUP020,Teva API Israel,1000,103.55,103550.0,2021-02-17,2021-02-22,50,False,2021,1,Q1
ORD04169,2021-01-03,DRG006,Ibuprofen,SUP025,Lupin API Division,50,28.02,1401.0,2021-03-11,2021-04-01,88,False,2021,1,Q1
ORD04511,2021-01-03,DRG011,Salbutamol Sulfate,SUP010,Novartis API GmbH,500,569.58,284790.0,2021-02-04,2021-01-27,24,True,2021,1,Q1
ORD00988,2021-01-03,DRG003,Atorvastatin Calcium,SUP010,Novartis API GmbH,1000,323.8,323800.0,2021-02-04,2021-02-08,36,False,2021,1,Q1
ORD05101,2021-01-04,DRG012,Montelukast Sodium,SUP017,Thermo Fisher Pharma,250,965.45,241362.5,2021-01-18,2021-01-17,13,True,2021,1,Q1
ORD04519,2021-01-04,DRG013,Omeprazole,SUP020,Teva API Israel,500,107.34,53670.0,2021-02-18,2021-02-17,44,True,2021,1,Q1
ORD02627,2021-01-04,DRG009,Azithromycin,SUP002,Cipla Chemical Works,500,127.47,63735.0,2021-03-12,2021-03-24,79,False,2021,1,Q1
ORD04282,2021-01-04,DRG001,Lisinopril,SUP015,Polpharma API Poland,1000,112.69,112690.0,2021-02-05,2021-02-05,32,True,2021,1,Q1
ORD05031,2021-01-04,DRG001,Lisinopril,SUP001,Aurobindo API Ltd,250,95.31,23827.5,2021-03-12,2021-03-03,58,True,2021,1,Q1
ORD02306,2021-01-05,DRG006,Ibuprofen,SUP001,Aurobindo API Ltd,2000,27.26,54520.0,2021-03-13,2021-03-13,67,True,2021,1,Q1
ORD01574,2021-01-05,DRG002,Amlodipine Besylate,SUP001,Aurobindo API Ltd,2000,133.06,266120.0,2021-03-13,2021-03-14,68,True,2021,1,Q1
ORD02309,2021-01-05,DRG005,Glimepiride,SUP014,Euroapi France,250,440.03,110007.5,2021-02-06,2021-01-29,24,True,2021,1,Q1
ORD01483,2021-01-05,DRG007,Acetaminophen (Paracetamol),SUP004,Laurus Labs Synthesis,1000,23.0,23000.0,2021-03-13,2021-03-02,56,True,2021,1,Q1
ORD04390,2021-01-05,DRG013,Omeprazole,SUP003,Dr Reddy's API Division,1000,72.21,72210.0,2021-03-13,2021-03-04,58,True,2021,1,Q1
ORD04302,2021-01-05,DRG004,Metformin HCl,SUP022,Cristalia Brazil API,1000,41.7,41700.0,2021-02-24,2021-02-16,42,True,2021,1,Q1
